Name	Group	SubGroup	Rank	Type	Macrotaxonomy	ShipCap	MoveSpeed	Metal	Crystal	BuildTime	Energy	AmmoType	Damage	Number	Reload	Range	Hull	Armor	Health	Engine	BonusType	Ability	Immunities	Memo	lol
Spire Modular Fortress	Modular Fortress	Spire Modular Fortress	1		Support Ships	1	44	"1,000,000"	"800,000"	20:01	"100,000"	Beam Weapon	"3,000,000"	1	1	"28,000"	Ultra-Heavy	"2,500"	"100,000,000"			"レーダー妨害(30,000)　自己修復(120:00)　Dark Matter弾迎撃　ワームホール使用不可　防御貫通(750)　偵察情報収集　サプライが必要"	Blade攻撃　Fusion Cutter攻撃　攻撃強化　防御強化　速度強化　トラクタービーム　鹵獲　麻痺攻撃　格納　丸呑み　核攻撃　即死　EMP	ビームは発射時の方向に2秒間持続的に照射　再装填は撃ち終えてから開始　モジュール装備可能(小型8個、大型4個)	lol
Zenith Modular Fortress	Modular Fortress	Zenith Modular Fortress	1		Support Ships	1	44	"1,000,000"	"800,000"	20:01	"100,000"	Energy Wave	"1,600,000"	1	2	"43,000"	Ultra-Heavy	"2,500"	"100,000,000"			"レーダー妨害(30,000)　自己修復(120:00)　Dark Matter弾迎撃　ワームホール使用不可　防御貫通(999,999)　偵察情報収集　サプライが必要"	Blade攻撃　Fusion Cutter攻撃　攻撃強化　防御強化　速度強化　トラクタービーム　鹵獲　麻痺攻撃　格納　丸呑み　核攻撃　即死　EMP	モジュール装備可能(小型8個、大型4個)	lol
Mini-Fortress	Mini-Fortress	Mini-Fortress	1		Support Ships		44	"50,000"	"40,000"	05:01	"9,000"	Flame Wave	"16,000"	30	6	"28,000"	Ultra-Heavy	"2,500"	"2,000,000"			"レーダー妨害(15,000)　自己修復(12:00)　攻撃強化上限(+100%)　ワームホール使用不可　偵察情報収集　修理機能(2.5)　サプライが必要"	Blade攻撃　Fusion Cutter攻撃　防御強化　速度強化　トラクタービーム　鹵獲　麻痺攻撃　格納　丸呑み　核攻撃　即死　EMP	移動すると停止してから60秒間修理機能停止　惑星別生産上限(2)	lol
Needler Turret	Needler Turret	Needler Turret	1		Turrets	96		"1,200"	800	00:30	200	Shell	"10,400"	1	3	"10,500"	Turret	"20,000"	"400,000"		Artillery(x3)　Heavy(x3)　Structural(x3)　Ultra-Heavy(x3)	攻撃強化上限(+100%)　サプライが必要	Fusion Cutter攻撃　Minor Electric弾　防御強化　鹵獲　格納　丸呑み		lol
Needler Turret Mark II	Needler Turret	Needler Turret	2		Turrets	96		"1,200"	800	00:30	200	Shell	"20,800"	1	3	"10,500"	Turret	"40,000"	"800,000"		Artillery(x3)　Heavy(x3)　Structural(x3)　Ultra-Heavy(x3)	"レーダー妨害(8,000)　攻撃強化上限(+100%)　サプライが必要"	Fusion Cutter攻撃　Minor Electric弾　防御強化　鹵獲　格納　丸呑み		lol
Needler Turret Mark III	Needler Turret	Needler Turret	3		Turrets	96		"1,200"	800	00:30	200	Shell	"31,200"	1	3	"10,500"	Turret	"60,000"	"1,200,000"		Artillery(x3)　Heavy(x3)　Structural(x3)　Ultra-Heavy(x3)	"レーダー妨害(6,500)　攻撃強化上限(+100%)　サプライが必要"	Fusion Cutter攻撃　Minor Electric弾　防御強化　鹵獲　格納　丸呑み		lol
Needler Turret Mark V	Needler Turret	Needler Turret	5		Turrets			"1,200"	800	00:30	200	Shell	"52,000"	1	3	"10,500"	Turret	"100,000"	"2,000,000"		Artillery(x3)　Heavy(x3)　Structural(x3)　Ultra-Heavy(x3)	"レーダー妨害(6,500)　攻撃強化上限(+100%)　サプライが必要"	Fusion Cutter攻撃　Minor Electric弾　防御強化　鹵獲　格納　丸呑み　核攻撃　EMP	惑星別生産上限(48)　同種下位ターレットとの共存不可	lol
Laser Turret	Laser Turret	Laser Turret	1		Turrets	96		400	"1,800"	00:30	300	Laser	"30,000"	1	8	"12,000"	Turret	"2,000"	"374,000"		Heavy(x3)　Polycrystal(x3)　Refractive(x3)　Ultra-Heavy(x3)	"攻撃強化上限(+100%)　防御貫通(1,000)　サプライが必要"	Fusion Cutter攻撃　Minor Electric弾　防御強化　鹵獲　格納　丸呑み		lol
Laser Turret Mark II	Laser Turret	Laser Turret	2		Turrets	96		400	"1,800"	00:30	300	Laser	"60,000"	1	8	"12,000"	Turret	"4,000"	"750,000"		Heavy(x3)　Polycrystal(x3)　Refractive(x3)　Ultra-Heavy(x3)	"レーダー妨害(9,500)　攻撃強化上限(+100%)　防御貫通(1,000)　サプライが必要"	Fusion Cutter攻撃　Minor Electric弾　防御強化　鹵獲　格納　丸呑み		lol
Laser Turret Mark III	Laser Turret	Laser Turret	3		Turrets	96		400	"1,800"	00:30	300	Laser	"90,000"	1	8	"12,000"	Turret	"6,000"	"1,120,000"		Heavy(x3)　Polycrystal(x3)　Refractive(x3)　Ultra-Heavy(x3)	"レーダー妨害(8,000)　攻撃強化上限(+100%)　防御貫通(1,000)　サプライが必要"	Fusion Cutter攻撃　Minor Electric弾　防御強化　鹵獲　格納　丸呑み		lol
Laser Turret Mark V	Laser Turret	Laser Turret	5		Turrets			400	"1,800"	00:30	300	Laser	"150,000"	1	8	"12,000"	Turret	"10,000"	"1,860,000"		Heavy(x3)　Polycrystal(x3)　Refractive(x3)　Ultra-Heavy(x3)	"レーダー妨害(8,000)　攻撃強化上限(+100%)　防御貫通(1,000)　サプライが必要"	Fusion Cutter攻撃　Minor Electric弾　防御強化　鹵獲　格納　丸呑み　核攻撃　EMP	惑星別生産上限(48)　同種下位ターレットとの共存不可	lol
MLRS Turret	MLRS Turret	MLRS Turret	1		Turrets	96		"1,800"	400	00:30	200	Missile	"3,720"	12	10	"15,000"	Turret	0	"410,000"		Close-Combat(x3)　Light(x3)　Neutron(x3)　Swarmer(x3)　Ultra-Light(x3)	攻撃強化上限(+100%)　サプライが必要	Fusion Cutter攻撃　Minor Electric弾　防御強化　鹵獲　格納　丸呑み		lol
MLRS Turret Mark II	MLRS Turret	MLRS Turret	2		Turrets	96		"1,800"	400	00:30	200	Missile	"7,480"	12	10	"15,000"	Turret	0	"820,000"		Close-Combat(x3)　Light(x3)　Neutron(x3)　Swarmer(x3)　Ultra-Light(x3)	"レーダー妨害(12,500)　攻撃強化上限(+100%)　サプライが必要"	Fusion Cutter攻撃　Minor Electric弾　防御強化　鹵獲　格納　丸呑み		lol
MLRS Turret Mark III	MLRS Turret	MLRS Turret	3		Turrets	96		"1,800"	400	00:30	200	Missile	"11,200"	12	10	"15,000"	Turret	0	"1,230,000"		Close-Combat(x3)　Light(x3)　Neutron(x3)　Swarmer(x3)　Ultra-Light(x3)	"レーダー妨害(11,000)　攻撃強化上限(+100%)　サプライが必要"	Fusion Cutter攻撃　Minor Electric弾　防御強化　鹵獲　格納　丸呑み		lol
MLRS Turret Mark V	MLRS Turret	MLRS Turret	5		Turrets			"1,800"	400	00:30	200	Missile	"18,600"	12	10	"15,000"	Turret	0	"2,060,000"		Close-Combat(x3)　Light(x3)　Neutron(x3)　Swarmer(x3)　Ultra-Light(x3)	"レーダー妨害(11,000)　攻撃強化上限(+100%)　サプライが必要"	Fusion Cutter攻撃　Minor Electric弾　防御強化　鹵獲　格納　丸呑み　核攻撃　EMP	惑星別生産上限(48)　同種下位ターレットとの共存不可	lol
Missile Turret	Missile Turret	Missile Turret	1		Turrets	96		"1,600"	600	00:30	200	Missile	"14,200"	3	12	"30,000"	Turret	0	"300,000"		Composite(x3)　Medium(x3)　Neutron(x3)　Polycrystal(x3)　Ultra-Light(x3)	攻撃強化上限(+100%)　サプライが必要	Fusion Cutter攻撃　Minor Electric弾　防御強化　鹵獲　格納　丸呑み		lol
Missile Turret Mark II	Missile Turret	Missile Turret	2		Turrets	96		"1,600"	600	00:30	200	Missile	"28,400"	3	12	"30,000"	Turret	0	"600,000"		Composite(x3)　Medium(x3)　Neutron(x3)　Polycrystal(x3)　Ultra-Light(x3)	攻撃強化上限(+100%)　サプライが必要	Fusion Cutter攻撃　Minor Electric弾　防御強化　鹵獲　格納　丸呑み		lol
Missile Turret Mark III	Missile Turret	Missile Turret	3		Turrets	96		"1,600"	600	00:30	200	Missile	"42,400"	3	12	"30,000"	Turret	0	"900,000"		Composite(x3)　Medium(x3)　Neutron(x3)　Polycrystal(x3)　Ultra-Light(x3)	攻撃強化上限(+100%)　サプライが必要	Fusion Cutter攻撃　Minor Electric弾　防御強化　鹵獲　格納　丸呑み		lol
Missile Turret Mark V	Missile Turret	Missile Turret	5		Turrets			"1,600"	600	00:30	200	Missile	"71,200"	3	12	"30,000"	Turret	0	"1,500,000"		Composite(x3)　Medium(x3)　Neutron(x3)　Polycrystal(x3)　Ultra-Light(x3)	攻撃強化上限(+100%)　サプライが必要	Fusion Cutter攻撃　Minor Electric弾　防御強化　鹵獲　格納　丸呑み　核攻撃　EMP	惑星別生産上限(48)　同種下位ターレットとの共存不可	lol
Flak Turret	Flak Turret	Flak Turret	1		Turrets	48		"4,000"	800	01:01	400	Energy Bomb	"15,600"	1	6	"5,000"	Turret	0	"1,240,000"		Close-Combat(x3)　Composite(x3)　Light(x3)　Swarmer(x3)	攻撃強化上限(+100%)　サプライが必要	Fusion Cutter攻撃　Minor Electric弾　防御強化　鹵獲　格納　丸呑み	着弾地点を中心に範囲攻撃　フォースフィールドによる攻撃力ペナルティが小さい(25%)	lol
Flak Turret Mark II	Flak Turret	Flak Turret	2		Turrets	48		"4,000"	800	01:01	400	Energy Bomb	"26,000"	1	6	"5,000"	Turret	0	"2,500,000"		Close-Combat(x3)　Composite(x3)　Light(x3)　Swarmer(x3)	攻撃強化上限(+100%)　サプライが必要	Fusion Cutter攻撃　Minor Electric弾　防御強化　鹵獲　格納　丸呑み	着弾地点を中心に範囲攻撃　フォースフィールドによる攻撃力ペナルティが小さい(25%)	lol
Flak Turret Mark III	Flak Turret	Flak Turret	3		Turrets	48		"4,000"	800	01:01	400	Energy Bomb	"33,600"	1	6	"5,000"	Turret	0	"3,740,000"		Close-Combat(x3)　Composite(x3)　Light(x3)　Swarmer(x3)	攻撃強化上限(+100%)　サプライが必要	Fusion Cutter攻撃　Minor Electric弾　防御強化　鹵獲　格納　丸呑み	着弾地点を中心に範囲攻撃　フォースフィールドによる攻撃力ペナルティが小さい(25%)	lol
Flak Turret Mark V	Flak Turret	Flak Turret	5		Turrets			"4,000"	800	01:01	400	Energy Bomb	"43,600"	1	6	"5,000"	Turret	0	"6,200,000"		Close-Combat(x3)　Composite(x3)　Light(x3)　Swarmer(x3)	攻撃強化上限(+100%)　サプライが必要	Fusion Cutter攻撃　Minor Electric弾　防御強化　鹵獲　格納　丸呑み　核攻撃　EMP	着弾地点を中心に範囲攻撃　フォースフィールドによる攻撃力ペナルティが小さい(25%)　惑星別生産上限(24)　同種下位ターレットとの共存不可	lol
Lightning Turret	Lightning Turret	Lightning Turret	1		Turrets	48		"1,200"	"2,800"	01:00	800	Major Electric	"1,052"	1	15	"8,000"	Turret	"20,000"	"1,000,000"		Neutron(x3)　Polycrystal(x3)　Refractive(x3)　Ultra-Light(x3)	"攻撃強化上限(+100%)　防御貫通(999,999)　サプライが必要"	Fusion Cutter攻撃　Minor Electric弾　防御強化　鹵獲　格納　丸呑み	200発同時発射　1体への集中攻撃は5発まで　フォースフィールドによる攻撃力ペナルティが小さい(25%)	lol
Lightning Turret Mark II	Lightning Turret	Lightning Turret	2		Turrets	48		"1,200"	"2,800"	01:00	800	Major Electric	"2,100"	1	15	"8,000"	Turret	"20,000"	"2,000,000"		Neutron(x3)　Polycrystal(x3)　Refractive(x3)　Ultra-Light(x3)	"攻撃強化上限(+100%)　防御貫通(999,999)　サプライが必要"	Fusion Cutter攻撃　Minor Electric弾　防御強化　鹵獲　格納　丸呑み	200発同時発射　1体への集中攻撃は5発まで　フォースフィールドによる攻撃力ペナルティが小さい(25%)	lol
Lightning Turret Mark III	Lightning Turret	Lightning Turret	3		Turrets	48		"1,200"	"2,800"	01:00	800	Major Electric	"3,160"	1	15	"8,000"	Turret	"20,000"	"3,000,000"		Neutron(x3)　Polycrystal(x3)　Refractive(x3)　Ultra-Light(x3)	"攻撃強化上限(+100%)　防御貫通(999,999)　サプライが必要"	Fusion Cutter攻撃　Minor Electric弾　防御強化　鹵獲　格納　丸呑み	200発同時発射　1体への集中攻撃は5発まで　フォースフィールドによる攻撃力ペナルティが小さい(25%)	lol
Lightning Turret Mark V	Lightning Turret	Lightning Turret	5		Turrets			"1,200"	"2,800"	01:00	800	Major Electric	"5,240"	1	15	"8,000"	Turret	"20,000"	"5,000,000"		Neutron(x3)　Polycrystal(x3)　Refractive(x3)　Ultra-Light(x3)	"攻撃強化上限(+100%)　防御貫通(999,999)　サプライが必要"	Fusion Cutter攻撃　Minor Electric弾　防御強化　鹵獲　格納　丸呑み　核攻撃　EMP	200発同時発射　1体への集中攻撃は5発まで　フォースフィールドによる攻撃力ペナルティが小さい(25%)　惑星別生産上限(24)　同種下位ターレットとの共存不可	lol
Heavy Beam Cannon	Heavy Beam Cannon	Heavy Beam Cannon	1		Turrets	12		"6,500"	"11,000"	00:50	"1,650"	Beam Weapon	"280,000"	3	7	"14,000"	Turret	0	"3,000,000"			"攻撃強化上限(+100%)　防御貫通(8,000)　サプライが必要"	Fusion Cutter攻撃　Minor Electric弾　防御強化　鹵獲　格納　丸呑み	単体を集中攻撃、攻撃回数が余ると直線範囲から新たな標的を決定	lol
Heavy Beam Cannon Mark II	Heavy Beam Cannon	Heavy Beam Cannon	2		Turrets	8		"13,000"	"22,000"	01:40	"2,500"	Beam Weapon	"360,000"	6	6	"15,000"	Turret	0	"9,000,000"			"レーダー妨害(12,500)　攻撃強化上限(+100%)　防御貫通(8,000)　サプライが必要"	Fusion Cutter攻撃　Minor Electric弾　防御強化　鹵獲　格納　丸呑み	単体を集中攻撃、攻撃回数が余ると直線範囲から新たな標的を決定	lol
Heavy Beam Cannon Mark III	Heavy Beam Cannon	Heavy Beam Cannon	3		Turrets	4		"26,000"	"44,000"	03:20	"5,000"	Beam Weapon	"450,000"	12	5	"16,000"	Turret	0	"27,000,000"			"レーダー妨害(12,000)　攻撃強化上限(+100%)　防御貫通(8,000)　サプライが必要"	Fusion Cutter攻撃　Minor Electric弾　防御強化　鹵獲　格納　丸呑み	単体を集中攻撃、攻撃回数が余ると直線範囲から新たな標的を決定	lol
Heavy Beam Cannon Mark IV	Heavy Beam Cannon	Heavy Beam Cannon	4		Turrets	1		"39,000"	"66,000"	05:00	"20,000"	Beam Weapon	"580,000"	40	4	"17,000"	Turret	0	"144,000,000"			"レーダー妨害(13,000)　攻撃強化上限(+100%)　防御貫通(8,000)　サプライが必要"	Fusion Cutter攻撃　Minor Electric弾　防御強化　鹵獲　格納　丸呑み	単体を集中攻撃、攻撃回数が余ると直線範囲から新たな標的を決定	lol
Sniper Turret	Sniper Turret	Sniper Turret	1		Turrets	96		700	"3,600"	00:50	360	Railgun	"18,600"	1	8	"999,999,000"	Turret	0	"200,000"		Close-Combat(x5)　Medium(x5)　Polycrystal(x5)　Ultra-Light(x5)	"攻撃強化上限(+100%)　防御貫通(999,999)　サプライが必要"	Dark Matter弾　Antimatter弾　Blade攻撃　Fusion Cutter攻撃　Minor Electric弾　防御強化　レーダー妨害　鹵獲　格納　丸呑み		lol
Sniper Turret Mark V	Sniper Turret	Sniper Turret	5		Turrets			700	"3,600"	00:50	360	Railgun	"93,600"	1	8	"999,999,000"	Turret	0	"1,000,000"		Close-Combat(x5)　Medium(x5)　Polycrystal(x5)　Ultra-Light(x5)	"攻撃強化上限(+100%)　防御貫通(999,999)　サプライが必要"	Dark Matter弾　Antimatter弾　Blade攻撃　Fusion Cutter攻撃　Minor Electric弾　防御強化　レーダー妨害　鹵獲　格納　丸呑み　核攻撃　EMP	惑星別生産上限(48)　同種下位ターレットとの共存不可	lol
Spider Turret	Spider Turret	Spider Turret	1		Turrets	96		700	"3,600"	00:50	360	Railgun	"9,300"	1	8	"999,999,000"	Turret	0	"200,000"		Close-Combat(x5)　Medium(x5)　Polycrystal(x5)　Ultra-Light(x5)	"エンジンダメージ(200)　攻撃強化上限(+100%)　防御貫通(999,999)　サプライが必要"	Dark Matter弾　Antimatter弾　Blade攻撃　Fusion Cutter攻撃　Minor Electric弾　防御強化　レーダー妨害　鹵獲　格納　丸呑み		lol
Spider Turret Mark V	Spider Turret	Spider Turret	5		Turrets			700	"3,600"	00:50	360	Railgun	"46,800"	1	8	"999,999,000"	Turret	0	"1,000,000"		Close-Combat(x5)　Medium(x5)　Polycrystal(x5)　Ultra-Light(x5)	"エンジンダメージ(1000)　攻撃強化上限(+100%)　防御貫通(999,999)　サプライが必要"	Dark Matter弾　Antimatter弾　Blade攻撃　Fusion Cutter攻撃　Minor Electric弾　防御強化　レーダー妨害　鹵獲　格納　丸呑み　核攻撃　EMP	惑星別生産上限(48)　同種下位ターレットとの共存不可	lol
Counter-Sniper Turret	Counter-Sniper Turret	Counter-Sniper Turret	1		Turrets	19		800	"7,200"	01:06	"1,000"						Turret	200	"202,000"				Dark Matter弾　Antimatter弾　狙撃　Blade攻撃　Fusion Cutter攻撃　Minor Electric弾　防御強化　鹵獲　格納　丸呑み	範囲内の味方への狙撃攻撃を無効化	lol
Counter-Dark-Matter Turret	Counter-Dark-Matter Turret	Counter-Dark-Matter Turret	1		Turrets	19		400	"8,000"	01:06	"1,000"						Turret	200	"202,000"			Dark Matter迎撃	Dark Matter弾　Antimatter弾　狙撃　Blade攻撃　Fusion Cutter攻撃　Minor Electric弾　防御強化　鹵獲　格納　丸呑み		lol
Counter-Missile Turret	Counter-Missile Turret	Counter-Missile Turret	1		Turrets	19		"2,000"	"6,000"	01:06	"1,000"						Turret	200	"202,000"			Missile迎撃	Dark Matter弾　Antimatter弾　狙撃　Blade攻撃　Fusion Cutter攻撃　Minor Electric弾　防御強化　鹵獲　格納　丸呑み		lol
Tractor Beam Turret	Tractor Beam Turret	Tractor Beam Turret	1		Turrets	96		"1,200"	"6,000"	00:40	300						Turret	900	"1,140,000"			"トラクタービーム(対象31、射程2,700)　サプライが必要"	Fusion Cutter攻撃　Minor Electric弾　防御強化　トラクタービーム　鹵獲　格納　丸呑み		lol
Tractor Beam Turret Mark II	Tractor Beam Turret	Tractor Beam Turret	2		Turrets	96		"1,200"	"6,000"	01:20	300						Turret	"1,800"	"2,280,000"			"トラクタービーム(対象75、射程3,550)　サプライが必要"	Fusion Cutter攻撃　Minor Electric弾　防御強化　トラクタービーム　鹵獲　格納　丸呑み		lol
Tractor Beam Turret Mark III	Tractor Beam Turret	Tractor Beam Turret	3		Turrets	96		"1,200"	"6,000"	02:00	300						Turret	"2,700"	"3,400,000"			"トラクタービーム(対象150、射程4,400)　サプライが必要"	Fusion Cutter攻撃　Minor Electric弾　防御強化　トラクタービーム　鹵獲　格納　丸呑み		lol
Gravitational Turret	Gravitational Turret	Gravitational Turret	1		Turrets	58		500	"7,000"	00:40	400						Turret	"1,200"	"1,080,000"			"重量波(速度上限32、射程5,000)　サプライが必要"	Fusion Cutter攻撃　Minor Electric弾　防御強化　鹵獲　格納　丸呑み		lol
Gravitational Turret Mark II	Gravitational Turret	Gravitational Turret	2		Turrets	58		500	"7,000"	01:20	800						Turret	"1,200"	"2,160,000"			"重量波(速度上限20、射程7,000)　サプライが必要"	Fusion Cutter攻撃　Minor Electric弾　防御強化　鹵獲　格納　丸呑み		lol
Gravitational Turret Mark III	Gravitational Turret	Gravitational Turret	3		Turrets	58		500	"7,000"	02:01	"1,200"						Turret	"1,200"	"3,240,000"			"重量波(速度上限8、射程9,000)　サプライが必要"	Fusion Cutter攻撃　Minor Electric弾　防御強化　鹵獲　格納　丸呑み		lol
Tachyon Beam Emitter	Tachyon Beam Emitter	Tachyon Beam Emitter	1		Turrets	19		"1,000"	"2,000"	00:25	100						Composite	400	"20,000"			"タキオンビーム照射(射程4,000)　敵の探知不可　サプライが必要"	鹵獲　麻痺　格納　丸呑み　機雷		lol
Stealth Tachyon Beam Emitter	Tachyon Beam Emitter	Tachyon Beam Emitter	2		Turrets	19		"2,000"	"4,000"	00:50	100						Composite	0	"20,000"			"クローク機能　タキオンビーム照射(射程8,000)　敵の探知不可　サプライが必要"	鹵獲　麻痺　格納　丸呑み　機雷		lol
Scout Drone	Scout Drone	Scout Drone	1		Fleet Ships	10	202	500	0	00:05	25						Scout	0	"3,000"			"クローク機能　クローク強化(対象1、射程4,000)　レーダー妨害(6,000)　偵察情報収集　エネルギー不足無視"	狙撃　範囲攻撃　ビーム兵器　ブラックホール効果　速度強化　重力波　磨耗　トラクタービーム　鹵獲　丸呑み　フォースフィールド　機雷		lol
Scout Drone Mark II	Scout Drone	Scout Drone	2		Fleet Ships	20	290	"1,000"	0	00:09	250						Scout	0	"6,000"			"クローク機能　クローク強化(対象2、射程6,000)　レーダー妨害(5,000)　偵察情報収集　エネルギー不足無視"	狙撃　範囲攻撃　ビーム兵器　ブラックホール効果　速度強化　重力波　磨耗　トラクタービーム　鹵獲　丸呑み　フォースフィールド　機雷		lol
Scout Drone Mark III	Scout Drone	Scout Drone	3		Fleet Ships	30	530	"2,000"	0	00:17	500						Scout	0	"9,000"			"クローク機能　クローク強化(対象3、射程7,000)　レーダー妨害(4,000)　偵察情報収集　エネルギー不足無視"	狙撃　範囲攻撃　ビーム兵器　ブラックホール効果　速度強化　重力波　磨耗　トラクタービーム　鹵獲　丸呑み　フォースフィールド　機雷		lol
Scout Drone Mark IV	Scout Drone	Scout Drone	4		Fleet Ships	1	58	"3,000"	0	00:25	"5,000"						Scout	0	"12,000"			"クローク機能　クローク強化(対象1、射程4,000)　タキオンビーム照射(射程700)　偵察情報収集　エネルギー不足無視"	狙撃　範囲攻撃　ビーム兵器　ブラックホール効果　速度強化　重力波　磨耗　トラクタービーム　タキオンビーム　鹵獲　丸呑み　フォースフィールド　機雷		lol
Standard Fighter	Standard Fighter	Standard Fighter	1		Fleet Ships	96	84	200	200	00:02	50	Shell	"4,080"	1	4	"3,200"	Light	300	"165,000"	200	Close-Combat(x6)　Medium(x6)　Polycrystal(x6)	防御貫通(750)			lol
Standard Fighter Mark II	Standard Fighter	Standard Fighter	2		Fleet Ships	96	84	400	400	00:04	100	Shell	"8,160"	1	4	"3,200"	Light	600	"330,000"	200	Close-Combat(x6)　Medium(x6)　Polycrystal(x6)	"防御貫通(1,500)"			lol
Standard Fighter Mark III	Standard Fighter	Standard Fighter	3		Fleet Ships	96	84	800	800	00:07	100	Shell	"12,200"	1	4	"3,200"	Light	900	"496,000"	200	Close-Combat(x6)　Medium(x6)　Polycrystal(x6)	"防御貫通(2,250)"			lol
Standard Fighter Mark IV	Standard Fighter	Standard Fighter	4		Fleet Ships	96	84	"1,200"	"1,200"	00:10	100	Shell	"16,200"	1	4	"3,200"	Light	"1,200"	"660,000"	200	Close-Combat(x6)　Medium(x6)　Polycrystal(x6)	"防御貫通(3,000)"			lol
Standard Fighter Mark V	Standard Fighter	Standard Fighter	5		Fleet Ships	96	84	"1,600"	"1,600"	00:14	100	Shell	"20,400"	1	4	"3,200"	Light	"1,500"	"828,000"	200	Close-Combat(x6)　Medium(x6)　Polycrystal(x6)	"防御貫通(3,750)"	鹵獲　核攻撃　EMP		lol
Bomber	Bomber	Bomber	1		Fleet Ships	96	72	"1,400"	200	00:12	100	Energy Bomb	"9,760"	1	12	"4,000"	Polycrystal	"1,200"	"156,000"	200	Artillery(x6)　Command-Grade(x6)　Heavy(x6)　Structural(x6)　Ultra-Heavy(x6)				lol
Bomber Mark II	Bomber	Bomber	2		Fleet Ships	96	72	"2,800"	400	00:24	200	Energy Bomb	"19,560"	1	12	"4,200"	Polycrystal	"2,400"	"314,000"	200	Artillery(x6)　Command-Grade(x6)　Heavy(x6)　Structural(x6)　Ultra-Heavy(x6)				lol
Bomber Mark III	Bomber	Bomber	3		Fleet Ships	96	72	"5,800"	800	00:49	200	Energy Bomb	"29,200"	1	12	"4,400"	Polycrystal	"3,600"	"470,000"	200	Artillery(x6)　Command-Grade(x6)　Heavy(x6)　Structural(x6)　Ultra-Heavy(x6)				lol
Bomber Mark IV	Bomber	Bomber	4		Fleet Ships	96	72	"8,600"	"1,200"	01:12	200	Energy Bomb	"39,000"	1	12	"4,600"	Polycrystal	"4,800"	"628,000"	200	Artillery(x6)　Command-Grade(x6)　Heavy(x6)　Structural(x6)　Ultra-Heavy(x6)				lol
Bomber Mark V	Bomber	Bomber	5		Fleet Ships	96	72	"11,600"	"1,600"	01:37	200	Energy Bomb	"48,800"	1	12	"4,800"	Polycrystal	"6,000"	"780,000"	200	Artillery(x6)　Command-Grade(x6)　Heavy(x6)　Structural(x6)　Ultra-Heavy(x6)				lol
Missile Frigate	Missile Frigate	Missile Frigate	1		Fleet Ships	96	44	200	"1,000"	00:09	200	Missile	"9,800"	1	10	"10,000"	Artillery	300	"156,000"	100	Composite(x6)　Light(x6)　Neutron(x6)　Refravtive(x6)　Swarmer(x6)　Ultra-Light(x6)		範囲攻撃		lol
Missile Frigate Mark II	Missile Frigate	Missile Frigate	2		Fleet Ships	96	44	400	"2,000"	00:17	400	Missile	"19,600"	1	10	"10,500"	Artillery	600	"314,000"	100	Composite(x6)　Light(x6)　Neutron(x6)　Refravtive(x6)　Swarmer(x6)　Ultra-Light(x6)		範囲攻撃		lol
Missile Frigate Mark III	Missile Frigate	Missile Frigate	3		Fleet Ships	96	44	800	"4,000"	00:34	400	Missile	"29,200"	1	10	"11,000"	Artillery	900	"470,000"	100	Composite(x6)　Light(x6)　Neutron(x6)　Refravtive(x6)　Swarmer(x6)　Ultra-Light(x6)		範囲攻撃		lol
Missile Frigate Mark IV	Missile Frigate	Missile Frigate	4		Fleet Ships	96	44	"1,200"	"6,000"	00:50	400	Missile	"39,200"	1	10	"11,500"	Artillery	"1,200"	"628,000"	100	Composite(x6)　Light(x6)　Neutron(x6)　Refravtive(x6)　Swarmer(x6)　Ultra-Light(x6)		範囲攻撃		lol
Missile Frigate Mark V	Missile Frigate	Missile Frigate	5		Fleet Ships	96	44	"1,600"	"8,000"	01:07	400	Missile	"48,800"	1	10	"12,000"	Artillery	"1,500"	"780,000"	100	Composite(x6)　Light(x6)　Neutron(x6)　Refravtive(x6)　Swarmer(x6)　Ultra-Light(x6)	ワープ探知	範囲攻撃　鹵獲　核攻撃　EMP　機雷		lol
Acid Sprayer	Acid Sprayer	Acid Sprayer	1		Fleet Ships	96	120	80	360	00:03	100	Acid	"2,440"	1	2	"2,500"	Close-Combat	900	"156,000"	100	Composite(x8)　Neutron(x8)　Polycrystal(x8)　Refractive(x8)	防御貫通(450)	ミサイル弾　狙撃　Fussion Cutter攻撃		lol
Acid Sprayer Mark II	Acid Sprayer	Acid Sprayer	2		Fleet Ships	96	120	160	740	00:07	200	Acid	"4,880"	1	2	"2,500"	Close-Combat	"1,800"	"314,000"	100	Composite(x8)　Neutron(x8)　Polycrystal(x8)　Refractive(x8)	防御貫通(900)	ミサイル弾　狙撃　Fussion Cutter攻撃		lol
Acid Sprayer Mark III	Acid Sprayer	Acid Sprayer	3		Fleet Ships	96	120	320	"1,480"	00:13	200	Acid	"7,320"	1	2	"2,500"	Close-Combat	"2,700"	"470,000"	100	Composite(x8)　Neutron(x8)　Polycrystal(x8)　Refractive(x8)	"防御貫通(1,350)"	ミサイル弾　狙撃　Fussion Cutter攻撃		lol
Acid Sprayer Mark IV	Acid Sprayer	Acid Sprayer	4		Fleet Ships	96	120	480	"2,200"	00:19	200	Acid	"9,800"	1	2	"2,500"	Close-Combat	"3,600"	"628,000"	100	Composite(x8)　Neutron(x8)　Polycrystal(x8)　Refractive(x8)	"防御貫通(1,800)"	ミサイル弾　狙撃　Fussion Cutter攻撃		lol
